,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,income
0,39,77516,13,2174,0,40,<=50K
1,50,83311,13,0,0,13,<=50K
2,38,215646,9,0,0,40,<=50K
3,53,234721,7,0,0,40,<=50K
4,28,338409,13,0,0,40,<=50K
5,37,284582,14,0,0,40,<=50K
6,49,160187,5,0,0,16,<=50K
7,52,209642,9,0,0,45,>50K
8,31,45781,14,14084,0,50,>50K
9,42,159449,13,5178,0,40,>50K
10,37,280464,10,0,0,80,>50K
11,30,141297,13,0,0,40,>50K
12,23,122272,13,0,0,30,<=50K
13,32,205019,12,0,0,50,<=50K
14,40,121772,11,0,0,40,>50K
15,34,245487,4,0,0,45,<=50K
16,25,176756,9,0,0,35,<=50K
17,32,186824,9,0,0,40,<=50K
18,38,28887,7,0,0,50,<=50K
19,43,292175,14,0,0,45,>50K
20,40,193524,16,0,0,60,>50K
21,54,302146,9,0,0,20,<=50K
22,35,76845,5,0,0,40,<=50K
23,43,117037,7,0,2042,40,<=50K
24,59,109015,9,0,0,40,<=50K
25,56,216851,13,0,0,40,>50K
26,19,168294,9,0,0,40,<=50K
27,54,180211,10,0,0,60,>50K
28,39,367260,9,0,0,80,<=50K
29,49,193366,9,0,0,40,<=50K
30,23,190709,12,0,0,52,<=50K
31,20,266015,10,0,0,44,<=50K
32,45,386940,13,0,1408,40,<=50K
33,30,59951,10,0,0,40,<=50K
34,22,311512,10,0,0,15,<=50K
35,48,242406,7,0,0,40,<=50K
36,21,197200,10,0,0,40,<=50K
37,19,544091,9,0,0,25,<=50K
38,31,84154,10,0,0,38,>50K
39,48,265477,12,0,0,40,<=50K
40,31,507875,5,0,0,43,<=50K
41,53,88506,13,0,0,40,<=50K
42,24,172987,13,0,0,50,<=50K
43,49,94638,9,0,0,40,<=50K
44,25,289980,9,0,0,35,<=50K
45,57,337895,13,0,0,40,>50K
46,53,144361,9,0,0,38,<=50K
47,44,128354,14,0,0,40,<=50K
48,41,101603,11,0,0,40,<=50K
49,29,271466,11,0,0,43,<=50K
50,25,32275,10,0,0,40,<=50K
51,18,226956,9,0,0,30,<=50K
52,47,51835,15,0,1902,60,>50K
53,50,251585,13,0,0,55,>50K
54,47,109832,9,0,0,60,<=50K
55,43,237993,10,0,0,40,>50K
56,46,216666,3,0,0,40,<=50K
57,35,56352,11,0,0,40,<=50K
58,41,147372,9,0,0,48,<=50K
59,30,188146,9,5013,0,40,<=50K
60,30,59496,13,2407,0,40,<=50K
61,32,293936,4,0,0,40,<=50K
62,48,149640,9,0,0,40,<=50K
63,42,116632,16,0,0,45,>50K
64,29,105598,10,0,0,58,<=50K
65,36,155537,9,0,0,40,<=50K
66,28,183175,10,0,0,40,<=50K
67,53,169846,9,0,0,40,>50K
68,49,191681,10,0,0,50,>50K
69,25,200681,10,0,0,40,<=50K
70,19,101509,10,0,0,32,<=50K
71,31,309974,13,0,0,40,<=50K
72,29,162298,13,0,0,70,>50K
73,23,211678,10,0,0,40,<=50K
74,79,124744,10,0,0,20,<=50K
75,27,213921,9,0,0,40,<=50K
76,40,32214,12,0,0,40,<=50K
77,67,212759,6,0,0,2,<=50K
78,18,309634,7,0,0,22,<=50K
79,31,125927,4,0,0,40,<=50K
80,18,446839,9,0,0,30,<=50K
81,52,276515,13,0,0,40,<=50K
82,46,51618,9,0,0,40,<=50K
83,59,159937,9,0,0,48,<=50K
84,44,343591,9,14344,0,40,>50K
85,53,346253,9,0,0,35,<=50K
86,49,268234,9,0,0,40,>50K
87,33,202051,14,0,0,50,<=50K
